Begin Time:2021-05-13T17:36:22.633
[2021-05-13T17:36:22.633 info Netsdk:48184 14224:12524 AVNetSDKMgr.cpp:378]Load avnetsdk library dynamically
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:15852 dhnetsdk.cpp:825]IP:170.242.1.146, port:8003, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:14680 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334ABE0, pstOutParam:000001B1B3356580.
[2021-05-13T17:36:22.770 info Netsdk:48184 14224:14680 dhnetsdk.cpp:825]IP:170.242.0.235, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:13408 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B900, pstOutParam:000001B1B3356480.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:13408 dhnetsdk.cpp:825]IP:170.242.0.226, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:13264 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334BBA0, pstOutParam:000001B1B3355C80.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:16124 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334C0E0, pstOutParam:000001B1B3356280.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:16124 dhnetsdk.cpp:825]IP:196.6.1.218, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:13264 dhnetsdk.cpp:825]IP:170.242.1.146, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:16092 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B740, pstOutParam:000001B1B3356B80.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:16092 dhnetsdk.cpp:825]IP:196.6.0.250, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:15040 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B120, pstOutParam:000001B1B3358680.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:15528 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334AB00, pstOutParam:000001B1B3356380.
[2021-05-13T17:36:22.771 info Netsdk:48184 14224:15528 dhnetsdk.cpp:825]IP:196.6.1.34, port:8002, SpeCap:0, CapParam:0000000000000000.
